id,layer,pattern,previous_error,root_cause,central_fix,status,regression_test
export_duplicate,module-layout,"converted - Kopie","malformed import path; missing r2go/converted/rprimitive","export placed the runtime package under a duplicate directory","move rprimitive to converted/rprimitive and remove duplicate tree",fixed,"go test ./..."
namespace_binding,parser-runtime,"pkg::fun(args)","namespace name must be a symbol or string; object not found","namespace operator consumed the function call as its right operand and builtin dispatch required a closure","bind namespace name before call arguments and route qualified calls through normal dispatcher",fixed,TestNamespaceCallBindsBeforeArguments
native_pipe,parser,"lhs |> fun(args)","object |> not found","pipe remained a binary function call instead of inserting lhs into rhs","rewrite native pipe AST to rhs call with lhs as first argument",fixed,TestNativePipeRewritesToCall
table_names,attributes,"names(table(x))","NULL instead of level labels","names lookup ignored the sole dimnames axis of one-dimensional table objects","derive names from one-dimensional dimnames centrally",fixed,TestStructuralCombinationMatrix/factor_table_names
matrix_character_index,indexing,"matrix[row_name,col_name]","NA instead of selected cell","array subsetting resolved character indices against unnamed synthetic axes","project each dimnames axis into the shared subset index resolver",fixed,TestStructuralCombinationMatrix/matrix_dimnames_subset
integer_widening,type-semantics,"sum(1:n); matrix(1:n)[i,j]","correct values returned as double instead of integer","colon and reduce kernels discarded integer-stability information","preserve integral colon sequences and integer/logical sums in the shared type matrix",fixed,TestStructuralDifferentialAgainstGNU_R
closure_fallback,compiler-matrix,"named and anonymous function(...) blocks","six named functions and two callbacks emitted as compatibilitySource","main lowering matrix had no scope/closure coordinate","add closure-scope factor with native Go callbacks local environments defaults returns loops and replacements",fixed,TestLongBaseScriptIsFullyGoLowered
unary_matrix_attributes,attribute-shape,"rowSums(abs(matrix(...))); colSums(round(matrix(...)))","matrix dimensions are required after unary transformation","Math and Math2 result containers discarded dim and dimnames","inherit the unary attribute vector centrally and preserve integer abs type",fixed,TestMatrixPowerCompositionAgainstGNU_R
length_result_type,type-semantics,"length(transform(producer))","correct count returned as double instead of integer across 973 compositions","both matrix-plan and builtin length constructors used DoubleVector","return IntegerVector from the shared length routes",fixed,TestMatrixPowerCompositionAgainstGNU_R
integer_scan_summary_type,type-semantics,"sum/min/max/cumsum/cummin/cummax over integer paths","correct values returned with double type across 203 compositions","vector scan and reduction executors always allocated DoubleVector","preserve the integer coordinate for type-stable scan and summary offsets",fixed,TestMatrixPowerCompositionAgainstGNU_R
sort_na_default,ordering-missingness,"sort(vector_with_NA)","NA retained by default so lengths and later missingness checks differed","sort reused order's na.last=TRUE default although GNU R sort defaults to na.last=NA","represent the tri-state na.last argument and filter missing positions for the default",fixed,TestMatrixPowerCompositionAgainstGNU_R
